dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.1,0.01,add_noise,16,90.95108695652175,90.33659066232356,90.95108695652175,90.22801302931596,90.78804347826087,89.90228013029315,91.0054347826087,90.66232356134635,92.25543478260869,92.29098805646036
spambase,0.1,0.1,add_noise,16,91.08695652173913,90.44516829533116,90.97826086956522,90.22801302931596,90.8695652173913,90.01085776330075,90.97826086956522,90.77090119435395,92.20108695652173,92.07383279044517
spambase,0.1,1.0,add_noise,16,91.03260869565217,90.11943539630836,90.95108695652175,90.22801302931596,90.81521739130434,90.01085776330075,90.97826086956522,90.77090119435395,92.17391304347827,92.07383279044517
spambase,0.1,10.0,add_noise,16,90.84239130434783,89.25081433224756,90.97826086956522,90.22801302931596,90.73369565217392,89.79370249728555,91.11413043478261,90.87947882736157,92.28260869565217,92.07383279044517
spambase,0.1,100.0,add_noise,16,89.97282608695653,89.79370249728555,91.0054347826087,90.22801302931596,90.84239130434783,89.68512486427795,91.03260869565217,90.77090119435395,92.20108695652173,92.07383279044517
spambase,0.1,200.0,add_noise,16,89.53804347826086,88.81650380021715,90.92391304347827,90.22801302931596,90.78804347826087,89.90228013029315,91.11413043478261,90.98805646036917,92.25543478260869,92.18241042345277
spambase,0.1,0.01,add_noise,32,90.65217391304347,90.22801302931596,90.40760869565217,90.01085776330075,90.40760869565217,89.25081433224756,90.95108695652175,90.33659066232356,91.79347826086956,91.09663409337676
spambase,0.1,0.1,add_noise,32,90.67934782608695,90.22801302931596,90.40760869565217,90.01085776330075,90.43478260869566,89.35939196525516,91.03260869565217,90.33659066232356,91.79347826086956,91.20521172638436
spambase,0.1,1.0,add_noise,32,90.35326086956522,90.01085776330075,90.65217391304347,90.22801302931596,90.40760869565217,89.35939196525516,90.81521739130434,90.11943539630836,91.79347826086956,91.09663409337676
spambase,0.1,10.0,add_noise,32,90.46195652173913,89.57654723127035,90.40760869565217,90.01085776330075,90.40760869565217,89.46796959826275,90.97826086956522,90.44516829533116,91.73913043478261,91.20521172638436
spambase,0.1,100.0,add_noise,32,89.2663043478261,88.92508143322475,90.40760869565217,90.01085776330075,90.3804347826087,89.25081433224756,90.95108695652175,90.44516829533116,91.79347826086956,91.09663409337676
spambase,0.1,200.0,add_noise,32,88.8586956521739,87.07926167209556,90.40760869565217,90.01085776330075,90.46195652173913,89.25081433224756,91.0054347826087,90.22801302931596,91.79347826086956,91.09663409337676
spambase,0.1,0.01,add_noise,64,90.40760869565217,89.79370249728555,90.40760869565217,89.79370249728555,90.2445652173913,89.35939196525516,90.46195652173913,90.11943539630836,91.08695652173913,90.44516829533116
spambase,0.1,0.1,add_noise,64,90.43478260869566,89.90228013029315,90.43478260869566,89.79370249728555,90.2445652173913,89.35939196525516,90.35326086956522,89.79370249728555,91.05978260869566,90.33659066232356
spambase,0.1,1.0,add_noise,64,90.0,89.57654723127035,90.40760869565217,89.79370249728555,90.21739130434783,89.35939196525516,90.35326086956522,90.11943539630836,91.08695652173913,90.33659066232356
spambase,0.1,10.0,add_noise,64,90.59782608695653,89.79370249728555,90.40760869565217,89.79370249728555,90.21739130434783,89.25081433224756,90.32608695652173,90.01085776330075,91.11413043478261,90.33659066232356
spambase,0.1,100.0,add_noise,64,89.40217391304348,88.92508143322475,90.40760869565217,89.79370249728555,90.13586956521739,89.35939196525516,90.46195652173913,90.11943539630836,91.1413043478261,90.33659066232356
spambase,0.1,200.0,add_noise,64,86.46739130434783,85.99348534201955,90.43478260869566,89.79370249728555,90.27173913043478,89.35939196525516,90.51630434782608,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.1,0.01,add_noise,128,90.2445652173913,89.57654723127035,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.40760869565217,89.25081433224756,90.89673913043478,90.44516829533116
spambase,0.1,0.1,add_noise,128,90.19021739130434,89.79370249728555,90.19021739130434,89.57654723127035,90.1086956521739,89.25081433224756,90.51630434782608,89.25081433224756,90.95108695652175,90.44516829533116
spambase,0.1,1.0,add_noise,128,90.1086956521739,89.46796959826275,90.21739130434783,89.68512486427795,90.13586956521739,89.25081433224756,90.35326086956522,89.25081433224756,90.89673913043478,90.44516829533116
spambase,0.1,10.0,add_noise,128,90.1086956521739,89.68512486427795,90.19021739130434,89.57654723127035,90.08152173913044,89.25081433224756,90.43478260869566,89.35939196525516,90.8695652173913,90.44516829533116
spambase,0.1,100.0,add_noise,128,88.42391304347827,88.05646036916394,90.19021739130434,89.68512486427795,90.1086956521739,89.25081433224756,90.48913043478261,89.35939196525516,90.84239130434783,90.44516829533116
spambase,0.1,200.0,add_noise,128,86.79347826086956,85.23344191096635,90.19021739130434,89.68512486427795,90.1086956521739,89.25081433224756,90.35326086956522,89.25081433224756,90.8695652173913,90.44516829533116
spambase,0.1,0.0,ipm_attack,16,90.8695652173913,90.01085776330075,90.95108695652175,90.22801302931596,90.19021739130434,89.14223669923996,90.51630434782608,90.55374592833876,91.7663043478261,92.07383279044517
spambase,0.1,0.0,ipm_attack,32,90.32608695652173,89.90228013029315,90.40760869565217,90.01085776330075,90.0,89.14223669923996,90.89673913043478,90.22801302931596,91.57608695652173,91.09663409337676
spambase,0.1,0.0,ipm_attack,64,90.29891304347825,89.68512486427795,90.40760869565217,89.79370249728555,89.78260869565217,88.59934853420195,90.29891304347825,90.01085776330075,91.16847826086956,90.33659066232356
spambase,0.1,0.0,ipm_attack,128,89.91847826086956,89.57654723127035,90.21739130434783,89.57654723127035,89.64673913043478,88.70792616720955,90.43478260869566,89.35939196525516,90.89673913043478,90.01085776330075
spambase,0.2,0.01,add_noise,16,90.97826086956522,90.33659066232356,91.0054347826087,90.22801302931596,90.92391304347827,89.90228013029315,91.0054347826087,90.98805646036917,92.20108695652173,91.96525515743757
spambase,0.2,0.1,add_noise,16,91.0054347826087,90.22801302931596,90.97826086956522,90.33659066232356,90.95108695652175,90.01085776330075,91.1413043478261,91.09663409337676,92.20108695652173,92.07383279044517
spambase,0.2,1.0,add_noise,16,90.89673913043478,90.55374592833876,90.95108695652175,90.22801302931596,90.89673913043478,89.90228013029315,90.8695652173913,90.44516829533116,92.17391304347827,91.96525515743757
spambase,0.2,10.0,add_noise,16,90.29891304347825,88.92508143322475,90.89673913043478,90.22801302931596,90.89673913043478,89.90228013029315,91.03260869565217,90.55374592833876,92.28260869565217,92.07383279044517
spambase,0.2,100.0,add_noise,16,88.69565217391305,87.51357220412595,90.95108695652175,90.33659066232356,90.84239130434783,89.68512486427795,91.16847826086956,90.87947882736157,92.28260869565217,91.96525515743757
spambase,0.2,200.0,add_noise,16,84.23913043478261,84.90770901194354,90.89673913043478,90.22801302931596,90.84239130434783,89.79370249728555,91.0054347826087,90.87947882736157,92.22826086956522,92.07383279044517
spambase,0.2,0.01,add_noise,32,90.40760869565217,90.01085776330075,90.65217391304347,90.22801302931596,90.40760869565217,89.46796959826275,90.97826086956522,90.44516829533116,91.82065217391305,91.09663409337676
spambase,0.2,0.1,add_noise,32,90.625,90.22801302931596,90.40760869565217,90.01085776330075,90.3804347826087,89.25081433224756,90.95108695652175,90.55374592833876,91.79347826086956,91.20521172638436
spambase,0.2,1.0,add_noise,32,90.57065217391305,90.01085776330075,90.40760869565217,90.01085776330075,90.46195652173913,89.46796959826275,90.92391304347827,90.22801302931596,91.7663043478261,90.98805646036917
spambase,0.2,10.0,add_noise,32,90.32608695652173,89.68512486427795,90.65217391304347,90.22801302931596,90.43478260869566,89.46796959826275,90.95108695652175,90.22801302931596,91.79347826086956,91.09663409337676
spambase,0.2,100.0,add_noise,32,88.80434782608695,87.18783930510315,90.40760869565217,90.01085776330075,90.3804347826087,89.35939196525516,91.0054347826087,90.33659066232356,91.82065217391305,91.09663409337676
spambase,0.2,200.0,add_noise,32,86.60326086956522,87.94788273615634,90.40760869565217,90.01085776330075,90.40760869565217,89.46796959826275,90.84239130434783,90.11943539630836,91.79347826086956,91.20521172638436
spambase,0.2,0.01,add_noise,64,90.40760869565217,89.90228013029315,90.40760869565217,89.79370249728555,90.27173913043478,89.46796959826275,90.48913043478261,90.11943539630836,91.08695652173913,90.44516829533116
spambase,0.2,0.1,add_noise,64,90.48913043478261,90.01085776330075,90.40760869565217,89.79370249728555,90.19021739130434,89.35939196525516,90.40760869565217,90.22801302931596,91.08695652173913,90.22801302931596
spambase,0.2,1.0,add_noise,64,90.19021739130434,89.68512486427795,90.40760869565217,89.79370249728555,90.21739130434783,89.35939196525516,90.32608695652173,90.01085776330075,91.11413043478261,90.33659066232356
spambase,0.2,10.0,add_noise,64,89.89130434782608,89.03365906623235,90.40760869565217,89.79370249728555,90.2445652173913,89.35939196525516,90.3804347826087,89.90228013029315,91.08695652173913,90.22801302931596
spambase,0.2,100.0,add_noise,64,88.23369565217392,86.86210640608036,90.43478260869566,89.79370249728555,90.19021739130434,89.35939196525516,90.48913043478261,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.2,200.0,add_noise,64,87.66304347826087,87.40499457111835,90.43478260869566,89.79370249728555,90.21739130434783,89.25081433224756,90.3804347826087,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.2,0.01,add_noise,128,90.2445652173913,89.57654723127035,90.19021739130434,89.57654723127035,90.16304347826087,89.25081433224756,90.32608695652173,89.35939196525516,90.89673913043478,90.33659066232356
spambase,0.2,0.1,add_noise,128,90.13586956521739,89.68512486427795,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.3804347826087,89.35939196525516,90.92391304347827,90.44516829533116
spambase,0.2,1.0,add_noise,128,90.19021739130434,89.57654723127035,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.48913043478261,89.46796959826275,90.92391304347827,90.44516829533116
spambase,0.2,10.0,add_noise,128,89.72826086956522,89.68512486427795,90.19021739130434,89.46796959826275,90.13586956521739,89.25081433224756,90.43478260869566,89.46796959826275,90.8695652173913,90.33659066232356
spambase,0.2,100.0,add_noise,128,87.20108695652173,86.10206297502715,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.46195652173913,89.25081433224756,90.81521739130434,90.33659066232356
spambase,0.2,200.0,add_noise,128,88.53260869565217,88.81650380021715,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.40760869565217,89.35939196525516,90.81521739130434,90.44516829533116
spambase,0.2,0.0,ipm_attack,16,90.67934782608695,90.11943539630836,90.95108695652175,90.22801302931596,89.10326086956522,88.27361563517914,90.02717391304348,90.33659066232356,90.84239130434783,90.66232356134635
spambase,0.2,0.0,ipm_attack,32,90.35326086956522,90.01085776330075,90.40760869565217,90.01085776330075,89.32065217391305,88.70792616720955,89.78260869565217,90.11943539630836,91.0054347826087,90.11943539630836
spambase,0.2,0.0,ipm_attack,64,90.0,89.57654723127035,90.40760869565217,89.79370249728555,89.18478260869566,88.81650380021715,90.16304347826087,90.11943539630836,90.65217391304347,90.01085776330075
spambase,0.2,0.0,ipm_attack,128,89.53804347826086,88.70792616720955,90.19021739130434,89.57654723127035,89.18478260869566,88.70792616720955,90.02717391304348,89.57654723127035,90.54347826086956,89.68512486427795
spambase,0.3,0.01,add_noise,16,90.89673913043478,90.22801302931596,90.95108695652175,90.22801302931596,91.03260869565217,90.22801302931596,91.0054347826087,90.66232356134635,92.3913043478261,92.18241042345277
spambase,0.3,0.1,add_noise,16,90.89673913043478,90.44516829533116,90.95108695652175,90.22801302931596,91.0054347826087,90.33659066232356,91.25,90.87947882736157,92.17391304347827,91.96525515743757
spambase,0.3,1.0,add_noise,16,90.89673913043478,90.77090119435395,90.92391304347827,90.22801302931596,90.78804347826087,90.11943539630836,91.0054347826087,90.44516829533116,92.20108695652173,91.96525515743757
spambase,0.3,10.0,add_noise,16,90.40760869565217,88.49077090119435,90.97826086956522,90.22801302931596,90.97826086956522,90.11943539630836,90.97826086956522,90.33659066232356,92.20108695652173,92.07383279044517
spambase,0.3,100.0,add_noise,16,87.98913043478261,87.29641693811075,90.95108695652175,90.22801302931596,90.84239130434783,90.01085776330075,91.03260869565217,90.33659066232356,92.28260869565217,91.96525515743757
spambase,0.3,200.0,add_noise,16,85.08152173913044,85.99348534201955,90.95108695652175,90.22801302931596,90.97826086956522,90.22801302931596,91.0054347826087,90.77090119435395,92.17391304347827,92.07383279044517
spambase,0.3,0.01,add_noise,32,90.3804347826087,90.01085776330075,90.40760869565217,90.01085776330075,90.43478260869566,89.46796959826275,90.89673913043478,90.77090119435395,91.79347826086956,90.87947882736157
spambase,0.3,0.1,add_noise,32,90.76086956521739,90.22801302931596,90.40760869565217,90.01085776330075,90.40760869565217,89.46796959826275,90.92391304347827,90.44516829533116,91.7663043478261,90.98805646036917
spambase,0.3,1.0,add_noise,32,90.51630434782608,89.79370249728555,90.65217391304347,90.22801302931596,90.3804347826087,89.46796959826275,90.81521739130434,90.33659066232356,91.79347826086956,91.09663409337676
spambase,0.3,10.0,add_noise,32,90.02717391304348,89.03365906623235,90.65217391304347,90.22801302931596,90.3804347826087,89.35939196525516,90.89673913043478,90.22801302931596,91.79347826086956,91.20521172638436
spambase,0.3,100.0,add_noise,32,86.82065217391305,87.62214983713355,90.40760869565217,90.01085776330075,90.3804347826087,89.46796959826275,90.97826086956522,90.22801302931596,91.73913043478261,91.09663409337676
spambase,0.3,200.0,add_noise,32,86.73913043478261,86.64495114006515,90.40760869565217,90.01085776330075,90.40760869565217,89.35939196525516,90.84239130434783,90.33659066232356,91.82065217391305,91.20521172638436
spambase,0.3,0.01,add_noise,64,90.43478260869566,89.79370249728555,90.40760869565217,89.79370249728555,90.32608695652173,89.25081433224756,90.46195652173913,90.22801302931596,91.05978260869566,90.33659066232356
spambase,0.3,0.1,add_noise,64,90.3804347826087,89.90228013029315,90.43478260869566,89.79370249728555,90.27173913043478,89.35939196525516,90.57065217391305,89.90228013029315,91.05978260869566,90.33659066232356
spambase,0.3,1.0,add_noise,64,90.02717391304348,89.68512486427795,90.40760869565217,89.79370249728555,90.2445652173913,89.46796959826275,90.3804347826087,89.79370249728555,91.1413043478261,90.11943539630836
spambase,0.3,10.0,add_noise,64,89.78260869565217,89.03365906623235,90.40760869565217,89.79370249728555,90.32608695652173,89.46796959826275,90.32608695652173,89.90228013029315,91.08695652173913,90.22801302931596
spambase,0.3,100.0,add_noise,64,83.91304347826087,84.90770901194354,90.43478260869566,89.79370249728555,90.2445652173913,89.35939196525516,90.43478260869566,90.11943539630836,91.05978260869566,90.22801302931596
spambase,0.3,200.0,add_noise,64,85.57065217391305,83.27904451682954,90.43478260869566,89.79370249728555,90.29891304347825,89.46796959826275,90.43478260869566,90.01085776330075,91.08695652173913,90.22801302931596
spambase,0.3,0.01,add_noise,128,90.19021739130434,89.57654723127035,90.21739130434783,89.68512486427795,90.16304347826087,89.25081433224756,90.51630434782608,89.25081433224756,90.89673913043478,90.33659066232356
spambase,0.3,0.1,add_noise,128,90.13586956521739,89.57654723127035,90.19021739130434,89.57654723127035,90.16304347826087,89.25081433224756,90.48913043478261,89.25081433224756,90.8695652173913,90.33659066232356
spambase,0.3,1.0,add_noise,128,90.21739130434783,89.79370249728555,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.46195652173913,89.25081433224756,90.8695652173913,90.44516829533116
spambase,0.3,10.0,add_noise,128,89.97282608695653,90.55374592833876,90.19021739130434,89.68512486427795,90.1086956521739,89.25081433224756,90.35326086956522,89.35939196525516,90.78804347826087,90.33659066232356
spambase,0.3,100.0,add_noise,128,84.02173913043478,84.03908794788273,90.16304347826087,89.68512486427795,90.19021739130434,89.25081433224756,90.3804347826087,89.57654723127035,90.84239130434783,90.44516829533116
spambase,0.3,200.0,add_noise,128,83.64130434782608,81.65038002171553,90.21739130434783,89.57654723127035,90.16304347826087,89.25081433224756,90.46195652173913,89.25081433224756,90.81521739130434,90.44516829533116
spambase,0.3,0.0,ipm_attack,16,90.35326086956522,90.01085776330075,90.97826086956522,90.22801302931596,86.84782608695653,86.86210640608036,52.41847826086956,49.9457111834962,88.94021739130434,88.70792616720955
spambase,0.3,0.0,ipm_attack,32,90.29891304347825,89.57654723127035,90.40760869565217,90.01085776330075,88.23369565217392,88.49077090119435,68.85869565217392,67.42671009771986,89.02173913043478,89.03365906623235
spambase,0.3,0.0,ipm_attack,64,89.7554347826087,88.81650380021715,90.40760869565217,89.79370249728555,88.75,88.27361563517914,84.51086956521739,83.60477741585234,90.13586956521739,88.70792616720955
spambase,0.3,0.0,ipm_attack,128,88.96739130434783,88.27361563517914,90.16304347826087,89.57654723127035,88.58695652173914,88.38219326818675,88.125,88.49077090119435,89.78260869565217,88.59934853420195
spambase,0.4,0.01,add_noise,16,91.0054347826087,90.44516829533116,90.95108695652175,90.22801302931596,91.0054347826087,90.33659066232356,91.05978260869566,90.77090119435395,92.47282608695652,92.07383279044517
spambase,0.4,0.1,add_noise,16,90.97826086956522,90.33659066232356,90.92391304347827,90.22801302931596,91.08695652173913,90.44516829533116,91.11413043478261,90.66232356134635,92.20108695652173,91.85667752442997
spambase,0.4,1.0,add_noise,16,91.25,90.11943539630836,90.95108695652175,90.22801302931596,91.03260869565217,90.33659066232356,91.1413043478261,90.44516829533116,92.25543478260869,91.96525515743757
spambase,0.4,10.0,add_noise,16,91.11413043478261,89.79370249728555,90.95108695652175,90.22801302931596,91.03260869565217,90.33659066232356,91.1413043478261,90.87947882736157,92.25543478260869,92.07383279044517
spambase,0.4,100.0,add_noise,16,86.33152173913044,85.23344191096635,90.95108695652175,90.22801302931596,91.0054347826087,90.22801302931596,91.1413043478261,90.44516829533116,92.25543478260869,92.07383279044517
spambase,0.4,200.0,add_noise,16,87.60869565217392,88.27361563517914,90.92391304347827,90.22801302931596,91.05978260869566,90.11943539630836,91.16847826086956,90.55374592833876,92.14673913043478,91.96525515743757
spambase,0.4,0.01,add_noise,32,90.65217391304347,90.22801302931596,90.40760869565217,90.01085776330075,90.43478260869566,89.57654723127035,91.03260869565217,90.33659066232356,91.84782608695652,90.98805646036917
spambase,0.4,0.1,add_noise,32,90.35326086956522,89.90228013029315,90.40760869565217,90.01085776330075,90.46195652173913,89.57654723127035,90.97826086956522,90.33659066232356,91.875,91.20521172638436
spambase,0.4,1.0,add_noise,32,91.0054347826087,90.01085776330075,90.40760869565217,90.01085776330075,90.59782608695653,89.57654723127035,90.97826086956522,90.33659066232356,91.82065217391305,91.09663409337676
spambase,0.4,10.0,add_noise,32,89.2663043478261,88.16503800217154,90.40760869565217,90.01085776330075,90.43478260869566,89.57654723127035,90.8695652173913,90.33659066232356,91.73913043478261,91.09663409337676
