dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,hyperbolic_krum_train_accuracy,hyperbolic_krum_test_accuracy
spambase,0.1,0.01,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.1,0.1,add_noise,16,90.3804347826087,90.66232356134635
spambase,0.1,1.0,add_noise,16,90.3804347826087,90.22801302931596
spambase,0.1,10.0,add_noise,16,90.40760869565217,90.11943539630836
spambase,0.1,100.0,add_noise,16,90.35326086956522,90.33659066232356
spambase,0.1,200.0,add_noise,16,90.3804347826087,90.33659066232356
spambase,0.1,0.01,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.1,0.1,add_noise,32,90.43478260869566,90.11943539630836
spambase,0.1,1.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.1,10.0,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.1,100.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.1,200.0,add_noise,32,90.48913043478261,90.11943539630836
spambase,0.1,0.01,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.1,0.1,add_noise,64,89.89130434782608,89.35939196525516
spambase,0.1,1.0,add_noise,64,89.91847826086956,89.35939196525516
spambase,0.1,10.0,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.1,100.0,add_noise,64,89.83695652173913,89.25081433224756
spambase,0.1,200.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.1,0.01,add_noise,128,89.64673913043478,88.16503800217154
spambase,0.1,0.1,add_noise,128,89.61956521739131,88.38219326818675
spambase,0.1,1.0,add_noise,128,89.70108695652173,88.05646036916394
spambase,0.1,10.0,add_noise,128,89.53804347826086,88.16503800217154
spambase,0.1,100.0,add_noise,128,89.53804347826086,88.16503800217154
spambase,0.1,200.0,add_noise,128,89.51086956521739,88.16503800217154
spambase,0.1,0.0,ipm_attack,16,90.16304347826087,90.44516829533116
spambase,0.1,0.0,ipm_attack,32,90.40760869565217,90.11943539630836
spambase,0.1,0.0,ipm_attack,64,89.83695652173913,89.25081433224756
spambase,0.1,0.0,ipm_attack,128,89.42934782608695,88.27361563517914
spambase,0.2,0.01,add_noise,16,90.32608695652173,90.33659066232356
spambase,0.2,0.1,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.2,1.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.2,10.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.2,100.0,add_noise,16,90.48913043478261,90.33659066232356
spambase,0.2,200.0,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.2,0.01,add_noise,32,90.48913043478261,90.22801302931596
spambase,0.2,0.1,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.2,1.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.2,10.0,add_noise,32,90.40760869565217,90.22801302931596
spambase,0.2,100.0,add_noise,32,90.43478260869566,90.01085776330075
spambase,0.2,200.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.2,0.01,add_noise,64,89.94565217391305,89.25081433224756
spambase,0.2,0.1,add_noise,64,89.80978260869566,89.35939196525516
spambase,0.2,1.0,add_noise,64,89.97282608695653,89.14223669923996
spambase,0.2,10.0,add_noise,64,89.97282608695653,89.25081433224756
spambase,0.2,100.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.2,200.0,add_noise,64,89.97282608695653,89.25081433224756
spambase,0.2,0.01,add_noise,128,89.61956521739131,88.27361563517914
spambase,0.2,0.1,add_noise,128,89.4836956521739,88.49077090119435
spambase,0.2,1.0,add_noise,128,89.51086956521739,88.38219326818675
spambase,0.2,10.0,add_noise,128,89.61956521739131,88.38219326818675
spambase,0.2,100.0,add_noise,128,89.64673913043478,88.59934853420195
spambase,0.2,200.0,add_noise,128,89.59239130434783,88.27361563517914
spambase,0.2,0.0,ipm_attack,16,89.51086956521739,89.90228013029315
spambase,0.2,0.0,ipm_attack,32,89.32065217391305,89.68512486427795
spambase,0.2,0.0,ipm_attack,64,89.70108695652173,89.03365906623235
spambase,0.2,0.0,ipm_attack,128,89.59239130434783,88.38219326818675
spambase,0.3,0.01,add_noise,16,90.40760869565217,90.33659066232356
spambase,0.3,0.1,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.3,1.0,add_noise,16,90.40760869565217,90.55374592833876
spambase,0.3,10.0,add_noise,16,90.43478260869566,90.22801302931596
spambase,0.3,100.0,add_noise,16,90.43478260869566,90.55374592833876
spambase,0.3,200.0,add_noise,16,90.35326086956522,90.22801302931596
spambase,0.3,0.01,add_noise,32,90.51630434782608,90.11943539630836
spambase,0.3,0.1,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,1.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,10.0,add_noise,32,90.46195652173913,90.11943539630836
spambase,0.3,100.0,add_noise,32,90.43478260869566,90.11943539630836
spambase,0.3,200.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.3,0.01,add_noise,64,89.86413043478261,89.25081433224756
spambase,0.3,0.1,add_noise,64,90.0,89.35939196525516
spambase,0.3,1.0,add_noise,64,89.78260869565217,89.46796959826275
spambase,0.3,10.0,add_noise,64,89.83695652173913,89.25081433224756
spambase,0.3,100.0,add_noise,64,89.78260869565217,89.14223669923996
spambase,0.3,200.0,add_noise,64,89.86413043478261,89.35939196525516
spambase,0.3,0.01,add_noise,128,89.45652173913044,88.27361563517914
spambase,0.3,0.1,add_noise,128,89.72826086956522,88.16503800217154
spambase,0.3,1.0,add_noise,128,89.56521739130436,88.16503800217154
spambase,0.3,10.0,add_noise,128,89.56521739130436,88.27361563517914
spambase,0.3,100.0,add_noise,128,89.59239130434783,88.49077090119435
spambase,0.3,200.0,add_noise,128,89.53804347826086,88.38219326818675
spambase,0.3,0.0,ipm_attack,16,40.67934782608696,36.91639522258415
spambase,0.3,0.0,ipm_attack,32,75.19021739130434,73.9413680781759
spambase,0.3,0.0,ipm_attack,64,86.875,86.75352877307276
spambase,0.3,0.0,ipm_attack,128,88.28804347826087,88.05646036916394
spambase,0.4,0.01,add_noise,16,90.40760869565217,90.66232356134635
spambase,0.4,0.1,add_noise,16,90.43478260869566,90.33659066232356
spambase,0.4,1.0,add_noise,16,90.48913043478261,90.33659066232356
spambase,0.4,10.0,add_noise,16,90.40760869565217,90.44516829533116
spambase,0.4,100.0,add_noise,16,90.40760869565217,90.44516829533116
spambase,0.4,200.0,add_noise,16,90.46195652173913,90.33659066232356
spambase,0.4,0.01,add_noise,32,90.3804347826087,90.11943539630836
spambase,0.4,0.1,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.4,1.0,add_noise,32,90.51630434782608,90.11943539630836
spambase,0.4,10.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.4,100.0,add_noise,32,90.29891304347825,90.11943539630836
spambase,0.4,200.0,add_noise,32,90.32608695652173,90.11943539630836
spambase,0.4,0.01,add_noise,64,89.86413043478261,89.14223669923996
spambase,0.4,0.1,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.4,1.0,add_noise,64,90.02717391304348,89.14223669923996
spambase,0.4,10.0,add_noise,64,90.08152173913044,89.46796959826275
spambase,0.4,100.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.4,200.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.4,0.01,add_noise,128,89.61956521739131,88.27361563517914
spambase,0.4,0.1,add_noise,128,89.59239130434783,88.38219326818675
spambase,0.4,1.0,add_noise,128,89.4836956521739,88.27361563517914
spambase,0.4,10.0,add_noise,128,89.7554347826087,88.38219326818675
spambase,0.4,100.0,add_noise,128,89.56521739130436,88.27361563517914
spambase,0.4,200.0,add_noise,128,89.56521739130436,88.16503800217154
spambase,0.4,0.0,ipm_attack,16,12.228260869565217,11.509229098805646
spambase,0.4,0.0,ipm_attack,32,12.33695652173913,11.617806731813246
spambase,0.4,0.0,ipm_attack,64,58.96739130434783,55.591748099891426
spambase,0.4,0.0,ipm_attack,128,83.0163043478261,82.08469055374593
mnist,0.1,0.01,add_noise,16,88.25166666666667,89.31
mnist,0.1,0.1,add_noise,16,88.215,89.42999999999999
mnist,0.1,1.0,add_noise,16,88.24666666666666,89.35
mnist,0.1,10.0,add_noise,16,88.24499999999999,89.36
mnist,0.1,100.0,add_noise,16,88.215,89.29
mnist,0.1,200.0,add_noise,16,88.27833333333334,89.22
mnist,0.1,0.01,add_noise,32,89.16833333333334,90.14999999999999
mnist,0.1,0.1,add_noise,32,89.20666666666666,90.10000000000001
mnist,0.1,1.0,add_noise,32,89.16666666666667,90.14999999999999
mnist,0.1,10.0,add_noise,32,89.13833333333334,90.14999999999999
mnist,0.1,100.0,add_noise,32,89.16333333333334,90.12
mnist,0.1,200.0,add_noise,32,89.17833333333334,90.12
mnist,0.1,0.01,add_noise,64,88.98,89.87
mnist,0.1,0.1,add_noise,64,88.99666666666667,89.98
mnist,0.1,1.0,add_noise,64,89.01333333333334,89.9
mnist,0.1,10.0,add_noise,64,88.96,89.81
mnist,0.1,100.0,add_noise,64,88.995,89.88000000000001
mnist,0.1,200.0,add_noise,64,89.00166666666667,89.86
mnist,0.1,0.01,add_noise,128,88.36333333333334,89.17
mnist,0.1,0.1,add_noise,128,88.41833333333334,89.19
mnist,0.1,1.0,add_noise,128,88.40333333333334,89.2
mnist,0.1,10.0,add_noise,128,88.33833333333332,89.16
mnist,0.1,100.0,add_noise,128,88.37666666666667,89.24
mnist,0.1,200.0,add_noise,128,88.34833333333333,89.22
mnist,0.1,0.0,ipm_attack,16,84.08833333333334,85.31
mnist,0.1,0.0,ipm_attack,32,82.735,83.76
mnist,0.1,0.0,ipm_attack,64,83.45166666666667,84.64
mnist,0.1,0.0,ipm_attack,128,85.77,87.03
mnist,0.2,0.01,add_noise,16,88.38166666666667,89.5
mnist,0.2,0.1,add_noise,16,88.40333333333334,89.47
mnist,0.2,1.0,add_noise,16,88.41499999999999,89.41
mnist,0.2,10.0,add_noise,16,88.40666666666667,89.4
mnist,0.2,100.0,add_noise,16,88.36166666666668,89.47
mnist,0.2,200.0,add_noise,16,88.36,89.37
mnist,0.2,0.01,add_noise,32,89.21666666666667,90.14999999999999
mnist,0.2,0.1,add_noise,32,89.23166666666667,90.09
mnist,0.2,1.0,add_noise,32,89.22333333333333,90.19
mnist,0.2,10.0,add_noise,32,89.19333333333334,90.18
mnist,0.2,100.0,add_noise,32,89.18666666666667,90.25
mnist,0.2,200.0,add_noise,32,89.215,90.18
mnist,0.2,0.01,add_noise,64,89.06166666666667,89.87
mnist,0.2,0.1,add_noise,64,89.07833333333333,89.82
mnist,0.2,1.0,add_noise,64,89.03666666666666,89.95
mnist,0.2,10.0,add_noise,64,89.07166666666667,89.94
mnist,0.2,100.0,add_noise,64,89.07166666666667,89.92999999999999
mnist,0.2,200.0,add_noise,64,89.005,89.97
mnist,0.2,0.01,add_noise,128,88.41333333333333,89.21
mnist,0.2,0.1,add_noise,128,88.40333333333334,89.16
mnist,0.2,1.0,add_noise,128,88.43166666666666,89.14
mnist,0.2,10.0,add_noise,128,88.36833333333334,89.28
mnist,0.2,100.0,add_noise,128,88.405,89.18
mnist,0.2,200.0,add_noise,128,88.38333333333334,89.14999999999999
mnist,0.2,0.0,ipm_attack,16,81.985,82.80999999999999
mnist,0.2,0.0,ipm_attack,32,81.71000000000001,82.44
mnist,0.2,0.0,ipm_attack,64,82.17666666666666,83.34
mnist,0.2,0.0,ipm_attack,128,84.405,85.41
mnist,0.3,0.01,add_noise,16,88.51666666666667,89.58
mnist,0.3,0.1,add_noise,16,88.52833333333334,89.59
mnist,0.3,1.0,add_noise,16,88.505,89.53
mnist,0.3,10.0,add_noise,16,88.565,89.48
mnist,0.3,100.0,add_noise,16,88.57166666666667,89.59
mnist,0.3,200.0,add_noise,16,88.57666666666667,89.59
mnist,0.3,0.01,add_noise,32,89.29333333333334,90.11
mnist,0.3,0.1,add_noise,32,89.28166666666667,90.19
mnist,0.3,1.0,add_noise,32,89.30166666666666,90.19
mnist,0.3,10.0,add_noise,32,89.31,90.2
mnist,0.3,100.0,add_noise,32,89.31833333333333,90.22
mnist,0.3,200.0,add_noise,32,89.27166666666668,90.19
mnist,0.3,0.01,add_noise,64,89.03,89.96
mnist,0.3,0.1,add_noise,64,89.02333333333333,89.92999999999999
mnist,0.3,1.0,add_noise,64,89.1,89.88000000000001
mnist,0.3,10.0,add_noise,64,89.07333333333334,89.94
mnist,0.3,100.0,add_noise,64,89.03999999999999,89.97
mnist,0.3,200.0,add_noise,64,89.07333333333334,89.88000000000001
mnist,0.3,0.01,add_noise,128,88.40166666666667,89.27000000000001
mnist,0.3,0.1,add_noise,128,88.40666666666667,89.25
mnist,0.3,1.0,add_noise,128,88.39666666666666,89.22
mnist,0.3,10.0,add_noise,128,88.42166666666667,89.2
mnist,0.3,100.0,add_noise,128,88.42333333333333,89.19
mnist,0.3,200.0,add_noise,128,88.40333333333334,89.25999999999999
mnist,0.3,0.0,ipm_attack,16,46.08333333333333,46.96
mnist,0.3,0.0,ipm_attack,32,33.78333333333333,33.47
mnist,0.3,0.0,ipm_attack,64,63.086666666666666,63.9
mnist,0.3,0.0,ipm_attack,128,79.22,80.31
mnist,0.4,0.01,add_noise,16,88.71833333333333,89.74
mnist,0.4,0.1,add_noise,16,88.71666666666667,89.73
mnist,0.4,1.0,add_noise,16,88.74499999999999,89.79
mnist,0.4,10.0,add_noise,16,88.73833333333333,89.73
mnist,0.4,100.0,add_noise,16,88.74333333333333,89.75
mnist,0.4,200.0,add_noise,16,88.70666666666666,89.88000000000001
mnist,0.4,0.01,add_noise,32,89.33,90.25999999999999
mnist,0.4,0.1,add_noise,32,89.38166666666667,90.2
mnist,0.4,1.0,add_noise,32,89.35333333333332,90.3
mnist,0.4,10.0,add_noise,32,89.36500000000001,90.21000000000001
mnist,0.4,100.0,add_noise,32,89.35,90.25999999999999
mnist,0.4,200.0,add_noise,32,89.40666666666667,90.21000000000001
mnist,0.4,0.01,add_noise,64,89.10833333333333,90.0
mnist,0.4,0.1,add_noise,64,89.13666666666667,90.05
mnist,0.4,1.0,add_noise,64,89.12333333333333,90.02
mnist,0.4,10.0,add_noise,64,89.12166666666667,89.95
mnist,0.4,100.0,add_noise,64,89.13333333333333,90.06
mnist,0.4,200.0,add_noise,64,89.12166666666667,89.92
mnist,0.4,0.01,add_noise,128,88.425,89.21
mnist,0.4,0.1,add_noise,128,88.435,89.14999999999999
mnist,0.4,1.0,add_noise,128,88.42666666666666,89.25
mnist,0.4,10.0,add_noise,128,88.37166666666667,89.24
mnist,0.4,100.0,add_noise,128,88.38666666666667,89.2
mnist,0.4,200.0,add_noise,128,88.46666666666667,89.21
mnist,0.4,0.0,ipm_attack,16,11.393333333333333,11.469999999999999
mnist,0.4,0.0,ipm_attack,32,9.719999999999999,9.91
mnist,0.4,0.0,ipm_attack,64,0.05333333333333334,0.02
mnist,0.4,0.0,ipm_attack,128,67.94166666666666,69.64
fashion_mnist,0.1,0.01,add_noise,16,82.10666666666665,81.07
fashion_mnist,0.1,0.1,add_noise,16,82.10499999999999,81.06
fashion_mnist,0.1,1.0,add_noise,16,82.11166666666668,81.15
fashion_mnist,0.1,10.0,add_noise,16,82.04166666666667,81.05
fashion_mnist,0.1,100.0,add_noise,16,82.12833333333333,81.15
fashion_mnist,0.1,200.0,add_noise,16,82.15666666666667,81.01
fashion_mnist,0.1,0.01,add_noise,32,82.94,81.94
fashion_mnist,0.1,0.1,add_noise,32,82.98166666666667,82.0
fashion_mnist,0.1,1.0,add_noise,32,82.90833333333333,81.78999999999999
fashion_mnist,0.1,10.0,add_noise,32,82.97,82.02000000000001
fashion_mnist,0.1,100.0,add_noise,32,82.99833333333333,81.96
fashion_mnist,0.1,200.0,add_noise,32,82.93166666666667,81.97
fashion_mnist,0.1,0.01,add_noise,64,82.45833333333333,81.27
fashion_mnist,0.1,0.1,add_noise,64,82.39166666666667,81.14
fashion_mnist,0.1,1.0,add_noise,64,82.39166666666667,81.15
fashion_mnist,0.1,10.0,add_noise,64,82.465,81.28999999999999
fashion_mnist,0.1,100.0,add_noise,64,82.41666666666667,81.2
fashion_mnist,0.1,200.0,add_noise,64,82.375,81.16
fashion_mnist,0.1,0.01,add_noise,128,81.21333333333334,80.25999999999999
fashion_mnist,0.1,0.1,add_noise,128,81.30166666666668,80.22
fashion_mnist,0.1,1.0,add_noise,128,81.24333333333334,80.19
fashion_mnist,0.1,10.0,add_noise,128,81.28166666666667,80.10000000000001
fashion_mnist,0.1,100.0,add_noise,128,81.24833333333333,80.19
fashion_mnist,0.1,200.0,add_noise,128,81.23833333333333,80.25
fashion_mnist,0.1,0.0,ipm_attack,16,73.17,71.43
fashion_mnist,0.1,0.0,ipm_attack,32,75.55666666666667,73.98
fashion_mnist,0.1,0.0,ipm_attack,64,75.45333333333333,73.76
fashion_mnist,0.1,0.0,ipm_attack,128,75.95166666666667,74.49
fashion_mnist,0.2,0.01,add_noise,16,82.20666666666666,81.07
fashion_mnist,0.2,0.1,add_noise,16,82.27499999999999,81.17
fashion_mnist,0.2,1.0,add_noise,16,82.28666666666666,81.28
fashion_mnist,0.2,10.0,add_noise,16,82.22,81.28999999999999
fashion_mnist,0.2,100.0,add_noise,16,82.28999999999999,81.27
fashion_mnist,0.2,200.0,add_noise,16,82.36666666666666,81.3
fashion_mnist,0.2,0.01,add_noise,32,83.03166666666667,82.01
fashion_mnist,0.2,0.1,add_noise,32,82.935,81.83
fashion_mnist,0.2,1.0,add_noise,32,82.99666666666667,81.96
fashion_mnist,0.2,10.0,add_noise,32,82.99,81.93
fashion_mnist,0.2,100.0,add_noise,32,83.01833333333335,82.03
fashion_mnist,0.2,200.0,add_noise,32,82.98166666666667,81.99
fashion_mnist,0.2,0.01,add_noise,64,82.415,81.17
fashion_mnist,0.2,0.1,add_noise,64,82.43166666666667,81.2
fashion_mnist,0.2,1.0,add_noise,64,82.45166666666667,81.19
fashion_mnist,0.2,10.0,add_noise,64,82.43166666666667,81.23
fashion_mnist,0.2,100.0,add_noise,64,82.44833333333334,81.23
fashion_mnist,0.2,200.0,add_noise,64,82.47,81.13
fashion_mnist,0.2,0.01,add_noise,128,81.25833333333333,80.23
fashion_mnist,0.2,0.1,add_noise,128,81.26333333333334,80.17999999999999
fashion_mnist,0.2,1.0,add_noise,128,81.26166666666667,80.24
fashion_mnist,0.2,10.0,add_noise,128,81.27333333333333,80.14
fashion_mnist,0.2,100.0,add_noise,128,81.27833333333334,80.17999999999999
fashion_mnist,0.2,200.0,add_noise,128,81.28333333333333,80.17999999999999
fashion_mnist,0.2,0.0,ipm_attack,16,77.03833333333333,75.87
fashion_mnist,0.2,0.0,ipm_attack,32,77.22833333333334,75.92999999999999
fashion_mnist,0.2,0.0,ipm_attack,64,76.01833333333333,74.67
fashion_mnist,0.2,0.0,ipm_attack,128,74.63166666666666,73.21
fashion_mnist,0.3,0.01,add_noise,16,82.49333333333333,81.49
fashion_mnist,0.3,0.1,add_noise,16,82.43833333333333,81.32000000000001
fashion_mnist,0.3,1.0,add_noise,16,82.53166666666667,81.61
fashion_mnist,0.3,10.0,add_noise,16,82.40333333333332,81.35
fashion_mnist,0.3,100.0,add_noise,16,82.44833333333334,81.42
fashion_mnist,0.3,200.0,add_noise,16,82.56166666666667,81.58
fashion_mnist,0.3,0.01,add_noise,32,83.12,82.03
fashion_mnist,0.3,0.1,add_noise,32,83.06333333333333,81.91000000000001
fashion_mnist,0.3,1.0,add_noise,32,83.085,82.01
fashion_mnist,0.3,10.0,add_noise,32,83.04333333333334,81.91000000000001
fashion_mnist,0.3,100.0,add_noise,32,83.075,82.02000000000001
fashion_mnist,0.3,200.0,add_noise,32,83.075,82.03
fashion_mnist,0.3,0.01,add_noise,64,82.44333333333333,81.13
fashion_mnist,0.3,0.1,add_noise,64,82.46,81.2
fashion_mnist,0.3,1.0,add_noise,64,82.505,81.21000000000001
fashion_mnist,0.3,10.0,add_noise,64,82.44500000000001,81.14
fashion_mnist,0.3,100.0,add_noise,64,82.46,81.2
fashion_mnist,0.3,200.0,add_noise,64,82.48,81.23
fashion_mnist,0.3,0.01,add_noise,128,81.21833333333333,80.11
fashion_mnist,0.3,0.1,add_noise,128,81.265,80.19
fashion_mnist,0.3,1.0,add_noise,128,81.28333333333333,80.22
fashion_mnist,0.3,10.0,add_noise,128,81.22333333333333,80.15
fashion_mnist,0.3,100.0,add_noise,128,81.26833333333333,80.19
fashion_mnist,0.3,200.0,add_noise,128,81.26833333333333,80.21000000000001
fashion_mnist,0.3,0.0,ipm_attack,16,13.868333333333332,13.309999999999999
fashion_mnist,0.3,0.0,ipm_attack,32,22.45,22.32
fashion_mnist,0.3,0.0,ipm_attack,64,58.36666666666667,57.56
fashion_mnist,0.3,0.0,ipm_attack,128,66.37833333333333,65.46
fashion_mnist,0.4,0.01,add_noise,16,82.73,81.8
fashion_mnist,0.4,0.1,add_noise,16,82.685,81.85
fashion_mnist,0.4,1.0,add_noise,16,82.74000000000001,81.46
fashion_mnist,0.4,10.0,add_noise,16,82.77166666666666,81.8
fashion_mnist,0.4,100.0,add_noise,16,82.71166666666666,81.77
fashion_mnist,0.4,200.0,add_noise,16,82.66166666666666,81.58999999999999
fashion_mnist,0.4,0.01,add_noise,32,83.08833333333332,81.96
fashion_mnist,0.4,0.1,add_noise,32,83.13666666666667,81.96
fashion_mnist,0.4,1.0,add_noise,32,83.02000000000001,81.85
fashion_mnist,0.4,10.0,add_noise,32,83.12833333333333,82.01
fashion_mnist,0.4,100.0,add_noise,32,83.09666666666666,81.98
fashion_mnist,0.4,200.0,add_noise,32,83.11166666666666,82.04
fashion_mnist,0.4,0.01,add_noise,64,82.53166666666667,81.28
fashion_mnist,0.4,0.1,add_noise,64,82.54666666666667,81.25
fashion_mnist,0.4,1.0,add_noise,64,82.53666666666668,81.38
fashion_mnist,0.4,10.0,add_noise,64,82.52000000000001,81.24
fashion_mnist,0.4,100.0,add_noise,64,82.50166666666667,81.28999999999999
fashion_mnist,0.4,200.0,add_noise,64,82.515,81.39999999999999
fashion_mnist,0.4,0.01,add_noise,128,81.25833333333333,80.25999999999999
fashion_mnist,0.4,0.1,add_noise,128,81.30833333333334,80.17999999999999
fashion_mnist,0.4,1.0,add_noise,128,81.30666666666667,80.14
fashion_mnist,0.4,10.0,add_noise,128,81.28666666666666,80.16
